Versions,Precision ,Recall,mAP50,mAP50-95,Preprocess Time,Inference Time,Postprocess Time,Total Time,Size,GFLOPs
YOLOv3u,0.91,0.88,0.943,0.803,0.8,7,0.8,8.6,207.86,282.2
YOLOV3u tiny,0.897,0.866,0.921,0.725,0.6,0.9,1.4,2.9,24.44,19.1
,,,,,,,,,,
YOLOv5un ,0.949,0.862,0.948,0.791,0.9,1.7,0.7,3.3,5.65,7
YOLOv5us ,0.924,0.882,0.853,0.804,0.9,1.6,1.3,3.8,18.58,23.8
YOLOv5um ,0.935,0.887,0.947,0.807,0.7,2.8,0.7,4.2,50.54,64
YOLOv5ul,0.916,0.881,0.948,0.797,0.8,4.8,0.8,6.4,106.85,135
YOLOv5ux,0.932,0.867,0.946,0.797,0.6,7.3,0.7,8.6,195.2,246.2
,,,,,,,,,,
YOLOv8n ,0.932,0.908,0.953,0.794,0.9,1.4,1,3.3,6.55,8.2
YOLOv8s ,0.962,0.88,0.943,0.812,0.6,1.8,0.6,3,22.59,28.7
YOLOv8m ,0.928,0.909,0.953,0.822,0.6,3.2,0.9,4.7,52.12,78.9
YOLOv8l,0.942,0.898,0.957,0.817,0.9,4.9,0.7,6.5,87.77,165.1
YOLOv8x,0.912,0.906,0.953,0.819,0.5,7.8,1,9.3,136.9,257.6
,,,,,,,,,,
YOLOv9t ,0.944,0.875,0.948,0.825,0.6,2.1,0.8,3.5,4.93,7.7
YOLOv9s ,0.921,0.897,0.956,0.832,0.8,2.7,1.1,4.6,15.33,26.9
YOLOv9m ,0.924,0.901,0.952,0.823,0.6,3.6,0.6,4.8,40.98,76.5
YOLOv9c,0.934,0.897,0.96,0.83,0.9,4.7,0.6,6.2,51.8,102.7
YOLOv9e,0.932,0.864,0.944,0.809,0.8,9.3,1.1,11.2,117.5,189.3
,,,,,,,,,,
YOLOv10n ,0.928,0.872,0.932,0.777,0.5,1.6,0.3,2.4,11.45,8.3
YOLOv10s ,0.903,0.841,0.924,0.785,0.9,2.5,0,3.4,32.96,24.8
YOLOv10m ,0.927,0.89,0.948,0.815,0.5,3.4,0,3.9,66.92,63.9
YOLOv10b ,0.894,0.875,0.937,0.791,0.7,4.2,0.1,5,82.98,98.3
YOLOv10l,0.908,0.903,0.946,0.813,0.6,5.2,0.2,6,104.39,126.7
YOLOv10x,0.918,0.876,0.936,0.801,0.9,7.5,0.1,8.5,128.3,170.5
