Versions,Precision ,Recall,mAP50,mAP50-95,Preprocess Time,Inference Time,Postprocess Time,Total Time,Size,GFlops
YOLOv3u,0.679,0.534,0.519,0.298,0.2,6.9,0.4,7.5,207.86,282.5
YOLOV3u tiny,0.647,0.511,0.489,0.273,0.2,0.8,0.5,1.5,24.44,18.9
,,,,,,,,,,
YOLOv5un ,0.635,0.532,0.514,0.298,0.2,0.7,0.4,1.3,5.65,7.2
YOLOv5us ,0.653,0.541,0.518,0.299,0.2,1.2,0.4,1.8,18.58,24
YOLOv5um ,0.667,0.541,0.526,0.308,0.2,2.5,0.4,3.1,50.54,64
YOLOv5ul,0.654,0.545,0.525,0.305,0.2,4.1,0.4,4.7,106.85,134.8
YOLOv5ux,0.668,0.555,0.531,0.309,0.2,7.2,0.5,7.9,195.2,246.2
,,,,,,,,,,
YOLOv8n ,0.655,0.533,0.515,0.297,0.2,0.7,0.4,1.3,6.55,8
YOLOv8s ,0.647,0.545,0.518,0.301,0.2,1.3,0.4,1.9,22.59,28.5
YOLOv8m ,0.669,0.547,0.525,0.302,0.2,3.6,0.5,4.3,52.12,79
YOLOv8l,0.659,0.551,0.526,0.303,0.2,4.6,0.5,5.3,87.77,165
YOLOv8x,0.655,0.55,0.529,0.306,0.2,7.6,0.4,8.2,136.9,257.7
,,,,,,,,,,
YOLOv9t ,0.647,0.516,0.512,0.3,0.2,1,0.3,1.5,4.93,7.5
YOLOv9s ,0.655,0.552,0.522,0.308,0.2,1.7,0.3,2.2,15.33,26.9
YOLOv9m ,0.668,0.551,0.529,0.307,0.2,3.3,0.3,3.8,40.98,76.8
YOLOv9c,0.663,0.547,0.523,0.303,0.2,4.3,0.6,5.1,51.8,102.4
YOLOv9e,0.667,0.537,0.524,0.308,0.2,9.1,0.3,9.6,117.5,189.5
,,,,,,,,,,
YOLOv10n ,0.633,0.52,0.504,0.291,0.2,0.8,0.1,1.1,11.45,8.5
YOLOv10s ,0.63,0.521,0.521,0.295,0.2,1.6,0,1.8,32.96,24.6
YOLOv10m ,0.655,0.542,0.512,0.298,0.2,3.1,0.1,3.4,66.92,63.7
YOLOv10b ,0.656,0.532,0.51,0.296,0.2,4,0,4.2,82.98,98.5
YOLOv10l,0.667,0.533,0.518,0.3,0.2,4.7,0.4,5.3,104.39,127
YOLOv10x,0.672,0.535,0.517,0.296,0.2,7.2,0.1,7.5,128.3,170.5
